plant_id,name,utility_name,city,state,county,zipcode,lat,lng,sector,source
64362,"SCS American Bottoms 009885 Sauget, LLC","Arevon Energy, Inc.",Sauget,IL,St Clair,62201,38.591745,-90.183286,IPP Non-CHP,eia_860_2024
64363,"ESA Boston Solar, LLC",Sol Systems,Roxboro,NC,Person,27574,36.486008,-78.921771,IPP Non-CHP,eia_860_2024
64364,"SCS Beltway 011754 Rock Falls, LLC","Arevon Energy, Inc.",Rock Falls,IL,Whiteside,61071,41.767012,-89.670331,IPP Non-CHP,eia_860_2024
64365,"Western Meadowlark Solar SCS NE 1, LLC","Arevon Energy, Inc.",Scottsbluff,NE,Scotts Bluff,69361,41.889,-103.649,IPP Non-CHP,eia_860_2024
64366,"Trojan Solar, LLC",Sol Systems,Delco,NC,Columbus,28436,34.312472,-78.20425,IPP Non-CHP,eia_860_2024
64367,"Zuma Solar, LLC",Sol Systems,Providence,NC,Caswell,27315,36.510939,-79.437885,IPP Non-CHP,eia_860_2024
64369,E Nash PV3,"Ecoplexus, Inc",Spring Hope,NC,Nash,27882,35.962303,-78.095956,IPP Non-CHP,eia_860_2024
64370,Plainfield Solar 1,Ecos Energy LLC,Plainfield,CT,Windham,6374,41.68,-71.901,IPP Non-CHP,eia_860_2024
64371,Cortlandville I Solar CSG,"DG New York CS, LLC",Cortland,NY,Cortland,13045,42.606794,-76.154486,IPP Non-CHP,eia_860_2024
64372,Sangerfield Solar CSG,"DG New York CS, LLC",Waterville,NY,Oneida,13480,42.924419,-75.42005,IPP Non-CHP,eia_860_2024
64373,Clay Solar CSG,"DG New York CS, LLC",Clay,NY,Onondaga,13041,43.194525,-76.21195,IPP Non-CHP,eia_860_2024
64374,Norwich Solar and Energy Storage CSG,"DG New York CS, LLC",Norwich,NY,Chenango,13815,42.552861,-75.529572,IPP Non-CHP,eia_860_2024
64375,Decorah Battery,Interstate Power and Light Co,Decorah,IA,Winneshiek,52101,43.324,-91.793,Electric Utility,eia_860_2024
64376,Tranquillity ID,"Tranquillity Solar 1, LLC",Tranquillity,CA,Fresno,93668,36.648026,-120.24594,IPP Non-CHP,eia_860_2024
64377,Milligan 1 Wind Farm,"Milligan 1 Wind, LLC",Western,NE,Saline,68464,40.478624,-97.220567,IPP Non-CHP,eia_860_2024
64378,Signature Breads Chelsea,"JDC 65R Owner, LLC",Chelsea,MA,Suffolk,2150,42.393622,-71.046617,Industrial Non-CHP,eia_860_2024
64379,Ridgecrest,Greenbacker Renewable Energy Corporation,Washington,DC,District of Columbia,20020,38.84683,-76.97592,IPP Non-CHP,eia_860_2024
64380,Cascades,Greenbacker Renewable Energy Corporation,Piscataway Township,NJ,Middlesex,8854,40.55879,-74.45646,IPP Non-CHP,eia_860_2024
64381,"Glacier Sands Wind Power, LLC","Glacier Sands Wind Power, LLC",Mason City,IL,Mason,62664,40.261377,-89.700876,IPP Non-CHP,eia_860_2024
64382,IXYS - Beverly,"IXYS Integrated Circuits Division, LLC",Beverly,MA,Essex,1915,42.579489,-70.910778,Industrial Non-CHP,eia_860_2024
64383,Braes Bayou Plant,ProEnergy Services,Richmond,TX,Fort Bend,77469,29.480277,-95.620277,IPP Non-CHP,eia_860_2024
64384,Amazon TUS2,SkyHigh 2 Solar,Tucson,AZ,Pima,85756,32.129416,-110.838888,IPP Non-CHP,eia_860_2024
64385,Gliden (Op Zone),Greenbacker Renewable Energy Corporation,Tyner,NC,Chowan,27980,36.30161,-76.60357,IPP Non-CHP,eia_860_2024
64386,Gilcrest V CSG,SunShare Management,Platteville,CO,Weld,80651,40.317966,-104.770747,IPP Non-CHP,eia_860_2024
64387,Quinebaug Solar,"Quinebaug Solar, LLC",Canterbury,CT,Windham,6331,41.749867,-71.932481,IPP Non-CHP,eia_860_2024
64388,TruStile Doors - Denver,SkyHigh 2 Solar,Denver,CO,Adams,80229,39.825708,-104.97312,IPP Non-CHP,eia_860_2024
64389,Niagara Bottling - Seguin,SkyHigh 2 Solar,Seguin,TX,Guadalupe,78155,29.589139,-97.977198,IPP Non-CHP,eia_860_2024
64391,Firestone Walker Brewery - Phase 1,SkyHigh 2 Solar,Paso Robles,CA,San Luis Obispo,93446,35.595877,-120.694306,IPP Non-CHP,eia_860_2024
64392,Branch Solar Farm,Oklahoma Gas & Electric Co,Branch,AR,Franklin,72928,35.306183,-93.925758,Electric Utility,eia_860_2024
64393,Badger Hollow II,Wisconsin Electric Power Co,Cobb,WI,Iowa,53526,42.94556,-90.34942,Electric Utility,eia_860_2024
64395,ZPD-PT Solar Project 2017-006 LLC Hybrid,AES Distributed Energy,Warren,MA,Worcester,1083,42.23,-72.21,IPP Non-CHP,eia_860_2024
64396,EMWD - Perris Valley RWRF,SkyHigh 2 Solar,Perris,CA,Riverside,92585,33.75998,-117.18766,IPP Non-CHP,eia_860_2024
64397,EMWD - San Jacinto RWRF NEM,SkyHigh 2 Solar,San Jacinto,CA,Riverside,92582,33.798547,-117.016588,IPP Non-CHP,eia_860_2024
64398,EMWD - Sun City RWRF,SkyHigh 2 Solar,Menifee,CA,Riverside,92584,33.696146,-117.218621,IPP Non-CHP,eia_860_2024
64399,EMWD - San Jacinto RES BCT,SkyHigh 2 Solar,San Jacinto,CA,Riverside,92582,33.802869,-117.023567,IPP Non-CHP,eia_860_2024
64400,BYU - Hawaii,SkyHigh 2 Solar,Laie,HI,Honolulu,96762,21.640774,-157.925056,IPP Non-CHP,eia_860_2024
64401,CSU San Jose State University,SkyHigh 2 Solar,San Jose,CA,Santa Clara,95192,37.334,-121.884,IPP Non-CHP,eia_860_2024
64402,El Dorado County,SkyHigh 2 Solar,Placerville,CA,El Dorado,95667,38.698145,-120.828256,IPP Non-CHP,eia_860_2024
64403,California State Univ at Channel Islands,SkyHigh 2 Solar,Camarillo,CA,Ventura,93446,34.162058,-119.043375,IPP Non-CHP,eia_860_2024
64404,Mesa Carport PV,"Apple, Inc",Mesa,AZ,Maricopa,85212,33.347,-111.602,Commercial Non-CHP,eia_860_2024
64406,EMWD - Moreno Valley RWRF,SkyHigh 2 Solar,Moreno Valley,CA,Riverside,92551,33.868252,-117.214055,IPP Non-CHP,eia_860_2024
64407,Flat Ridge 3,Invenergy Services LLC,Zenda,KS,Kingman,67159,37.446969,-98.400225,IPP Non-CHP,eia_860_2024
64408,Georges River Energy,Robbins Lumber Inc,Searsmont,ME,Waldo,4973,44.3331,-69.2019,IPP CHP,eia_860_2024
64409,Anderson (SC),"Anderson Solar Farm, LLC",Anderson,SC,Anderson,29624,34.493707,-82.676137,IPP Non-CHP,eia_860_2024
64410,Briarwood,"Briarwood Solar, LLC",Greenwood,SC,Greenwood,29646,34.08475,-82.10133,IPP Non-CHP,eia_860_2024
64411,Delanco,"Delanco Coopertown Rd Solar 2, LLC",Delanco Township,NJ,Burlington,8075,40.04936,-74.9353,IPP Non-CHP,eia_860_2024
64412,Gold Mine,"Gold Mine Solar, LLC",Bradley,SC,Greenwood,29819,34.0726,-82.2263,IPP Non-CHP,eia_860_2024
