plant_id,plant_name,utility_name,state,county,generator_id,status,technology
57074,Ivanpah 1,NRG Energy Services,CA,San Bernardino,ST1,OP,Solar Thermal without Energy Storage
57075,Ivanpah 3,NRG Energy Services,CA,San Bernardino,ST1,OP,Solar Thermal without Energy Storage
57081,Calpine Vineland Solar LLC,Calpine Vineland Solar LLC,NJ,Cumberland,CVS1,OP,Solar Photovoltaic
57081,Calpine Vineland Solar LLC,Calpine Vineland Solar LLC,NJ,Cumberland,CVS2,OP,Solar Photovoltaic
57141,RV CSU Power LLC,RV CSU Power LLC,CO,Larimer,CSU1,OP,Solar Photovoltaic
57191,Exelon Solar Chicago,"Luminace Solar Chicago, LLC",IL,Cook,ECS1,OP,Solar Photovoltaic
57197,Blue Wing Solar Energy Generation,Duke Energy Renewables Services,TX,Bexar,1,OP,Solar Photovoltaic
57200,Shelby Solar Energy Generation Facility,Duke Energy Renewables Services,NC,Cleveland,1,OP,Solar Photovoltaic
57202,Jacksonville Solar,Jacksonville Solar LLC,FL,Duval,1,OP,Solar Photovoltaic
57203,Wyandot Solar Farm,Wyandot Solar LLC,OH,Wyandot,1,OP,Solar Photovoltaic
57205,CM48,Consolidated Edison Development Inc.,NV,Clark,PV02,OP,Solar Photovoltaic
57205,CM48,Consolidated Edison Development Inc.,NV,Clark,PV03,OP,Solar Photovoltaic
57205,CM48,Consolidated Edison Development Inc.,NV,Clark,PV04,OP,Solar Photovoltaic
57205,CM48,Consolidated Edison Development Inc.,NV,Clark,PV05,OP,Solar Photovoltaic
57205,CM48,Consolidated Edison Development Inc.,NV,Clark,PV06,OP,Solar Photovoltaic
57216,Crayola Solar Project,"UGI Energy Services, LLC",PA,Northampton,1,OP,Solar Photovoltaic
57216,Crayola Solar Project,"UGI Energy Services, LLC",PA,Northampton,2,OP,Solar Photovoltaic
57216,Crayola Solar Project,"UGI Energy Services, LLC",PA,Northampton,3,OP,Solar Photovoltaic
57242,Mililani South Solar Farm,Mililani I Solar LLC,HI,Honolulu,1,OP,Solar Photovoltaic
57243,Cimarron Solar Facility,Southern Power Co,NM,Colfax,CIM1,OP,Solar Photovoltaic
57254,Victor Valley CC CPV Solar,Victor Valley Community College District,CA,San Bernardino,1PV,OP,Solar Photovoltaic
57256,PA Solar Park,Consolidated Edison Development Inc.,PA,Carbon,1,OP,Solar Photovoltaic
57265,Dorchester Solar Site,Massachusetts Electric Co,MA,Suffolk,1,OP,Solar Photovoltaic
57269,Haverhill Solar Power Project,Massachusetts Electric Co,MA,Essex,1,OP,Solar Photovoltaic
57270,NEDC Solar Site,Massachusetts Electric Co,MA,Worcester,1,OP,Solar Photovoltaic
57275,Crescent Dunes Solar Energy,Tonopah Solar Energy LLC,NV,Nye,TSE-1,OP,Solar Thermal with Energy Storage
57280,Aqua Ingrams Mill,Aqua America Inc,PA,Chester,1,OP,Solar Photovoltaic
57295,Alpine Solar,Alpine BESS LLC,CA,Los Angeles,1,OP,Solar Photovoltaic
57305,Adelanto Solar Project,Los Angeles Department of Water & Power,CA,San Bernardino,1,OP,Solar Photovoltaic
57306,Pine Tree Solar Project,Los Angeles Department of Water & Power,CA,Kern,1,OP,Solar Photovoltaic
57308,Maclay Solar Project,Los Angeles Department of Water & Power,CA,Los Angeles,1,OP,Solar Photovoltaic
57309,Pacific Cruise Ship Terminals Berth 93,City of Los Angeles Harbor Department,CA,Los Angeles,1,OS,Solar Photovoltaic
57311,Occidental College Solar Project,Occidental College,CA,Los Angeles,1,OP,Solar Photovoltaic
57313,Metro Support Services Center Solar,Los Angeles County Metropolitan Transportation Authority,CA,Los Angeles,1,OP,Solar Photovoltaic
57314,Los Angeles Harbor College,Los Angeles Community College District,CA,Los Angeles,1,OP,Solar Photovoltaic
57317,San Luis Valley Solar Ranch,Avangrid Power LLC,CO,Alamosa,1,OP,Solar Photovoltaic
57318,"Poseidon Solar, LLC","Axium Arizona Renewables, LLC",AZ,GILA,1,OP,Solar Photovoltaic
57321,Mayberry Solar LLC,"Oppidum Renewables USA, LLC",NC,Surry,1PV,OP,Solar Photovoltaic
57324,Luke Solar,Arizona Public Service Co,AZ,Maricopa,PV1,OP,Solar Photovoltaic
57330,Kent County Wastewater Treatment Solar,Kent County Levy Court Dept of Pub Work,DE,Kent,1,OP,Solar Photovoltaic
57331,Mojave Solar Project,Mojave Solar LLC,CA,San Bernardino,MSP1,OP,Solar Thermal without Energy Storage
57331,Mojave Solar Project,Mojave Solar LLC,CA,San Bernardino,MSP2,OP,Solar Thermal without Energy Storage
57334,DE Solar 10240 Old Dowd Rd,"Duke Energy Carolinas, LLC",NC,Mecklenburg,PV01,OP,Solar Photovoltaic
57335,DE Solar 657 Brigham Rd,"Duke Energy Carolinas, LLC",NC,Guilford,PV01,OP,Solar Photovoltaic
57336,DE Solar 1725 Drywall Dr,"Duke Energy Carolinas, LLC",NC,Gaston,PV01,OP,Solar Photovoltaic
57337,Dover Sun Park,"Arevon Energy, Inc.",DE,Kent,1,OP,Solar Photovoltaic
57338,Roadrunner Solar,NRG Solar Roadrunner,NM,Dona Ana,1,OP,Solar Photovoltaic
57340,Panoche Valley Solar Farm,Consolidated Edison Development Inc.,CA,San Benito,1,OP,Solar Photovoltaic
57341,Silver Lake Solar Farm,Public Service Elec & Gas Co,NJ,Middlesex,SILV,OP,Solar Photovoltaic
57352,Trenton Solar Farm,Public Service Elec & Gas Co,NJ,Mercer,TREN,OP,Solar Photovoltaic
57359,Avenal Park,Avenal Solar Holdings LLC,CA,Kings,1,OP,Solar Photovoltaic
57360,Sun City Project LLC,Avenal Solar Holdings LLC,CA,Kings,1,OP,Solar Photovoltaic
57361,Sand Drag LLC,Avenal Solar Holdings LLC,CA,Kings,1,OP,Solar Photovoltaic
57362,Morgantown Solar Park,The Hankin Group,PA,Berks,1,OP,Solar Photovoltaic
57363,510 REPP One,510 REPP One LLC,NC,Northampton,1,OP,Solar Photovoltaic
57367,Pocono Solar Project,Pocono International Raceway Inc,PA,Monroe,POCON,OP,Solar Photovoltaic
57368,Alamosa Solar,Solar of Alamosa LLC,CO,Alamosa,1,OP,Solar Photovoltaic
57369,Questa Solar Facility,Chevron Technology Ventures,NM,Taos,QST,OP,Solar Photovoltaic
57372,Bellevue Solar Project,"EDF Renewable Asset Holdings, Inc.",OR,Yamhill,INV-1,OP,Solar Photovoltaic
57373,Agua Caliente Solar Project,Agua Caliente Solar,AZ,Yuma,AGU1,OP,Solar Photovoltaic
57373,Agua Caliente Solar Project,Agua Caliente Solar,AZ,Yuma,AGU2,OP,Solar Photovoltaic
57373,Agua Caliente Solar Project,Agua Caliente Solar,AZ,Yuma,AGU3,OP,Solar Photovoltaic
57377,Greater Sandhill I,Greater Sandhill I LLC,CO,Alamosa,GS-P1,OP,Solar Photovoltaic
57377,Greater Sandhill I,Greater Sandhill I LLC,CO,Alamosa,GS-P2,OP,Solar Photovoltaic
57378,AV Solar Ranch One,AV Solar Ranch 1 LLC,CA,Los Angeles,AVSR,OP,Solar Photovoltaic
57381,Linden Solar Farm,Public Service Elec & Gas Co,NJ,Union,LIND,OP,Solar Photovoltaic
57382,Yardville Solar Farm,Public Service Elec & Gas Co,NJ,Mercer,YARD,OP,Solar Photovoltaic
57383,WEA Texas Bayonne,Public Service Elec & Gas Co,NJ,Hudson,BAYO,OP,Solar Photovoltaic
57384,Matrix Buildings A&B (Perth Amboy) Solar,Public Service Elec & Gas Co,NJ,Middlesex,MATR,OP,Solar Photovoltaic
57390,Haleon York RDC Solar Facility,Haleon PLC,PA,York,1,OP,Solar Photovoltaic
